TradeDate,A_CLOSE
2009-01-02,16.24
2009-01-05,16.79
2009-01-06,18.13
2009-01-07,18.23
2009-01-08,18.35
2009-01-09,18.52
2009-01-12,18.52
2009-01-13,19.06
2009-01-14,18.45
2009-01-15,19.12
2009-01-16,19.51
2009-01-20,18.55
2009-01-21,19.26
2009-01-22,18.90
2009-01-23,18.64
2009-01-26,18.91
2009-01-27,18.70
2009-01-28,18.96
2009-01-29,18.57
2009-01-30,18.08
2009-02-02,18.03
2009-02-03,18.21
2009-02-04,18.48
2009-02-05,19.32
2009-02-06,19.30
2009-02-09,19.04
2009-02-10,18.26
2009-02-11,18.37
2009-02-12,18.63
2009-02-13,18.47
2009-02-17,17.65
2009-02-18,16.05
2009-02-19,15.56
2009-02-20,15.18
2009-02-23,14.28
2009-02-24,14.91
2009-02-25,14.66
2009-02-26,14.21
2009-02-27,13.87
2009-03-02,12.68
2009-03-03,12.68
2009-03-04,13.31
2009-03-05,12.54
2009-03-06,12.65
2009-03-09,12.44
2009-03-10,13.43
2009-03-11,13.53
2009-03-12,13.81
2009-03-13,13.99
2009-03-16,13.76
2009-03-17,14.42
2009-03-18,14.53
2009-03-19,14.74
2009-03-20,14.43
2009-03-23,15.89
2009-03-24,15.79
2009-03-25,15.96
2009-03-26,17.14
2009-03-27,16.21
2009-03-30,15.39
2009-03-31,15.37
2009-04-01,16.00
2009-04-02,16.32
2009-04-03,16.46
2009-04-06,15.98
2009-04-07,15.60
2009-04-08,16.20
2009-04-09,17.00
2009-04-13,16.68
2009-04-14,16.52
2009-04-15,16.36
2009-04-16,16.82
2009-04-17,17.01
2009-04-20,16.42
2009-04-21,16.60
2009-04-22,16.76
2009-04-23,16.40
2009-04-24,16.90
2009-04-27,16.92
2009-04-28,17.04
2009-04-29,18.03
2009-04-30,18.26
2009-05-01,18.81
2009-05-04,19.42
2009-05-05,18.73
2009-05-06,19.23
2009-05-07,18.77
2009-05-08,19.34
2009-05-11,18.84
2009-05-12,18.99
2009-05-13,18.05
2009-05-14,18.33
2009-05-15,17.65
2009-05-18,17.87
2009-05-19,18.37
2009-05-20,18.64
2009-05-21,17.68
2009-05-22,17.69
2009-05-26,18.05
2009-05-27,17.89
2009-05-28,17.98
2009-05-29,18.23
2009-06-01,18.88
2009-06-02,19.55
2009-06-03,19.33
2009-06-04,20.04
2009-06-05,19.90
2009-06-08,19.64
2009-06-09,19.72
2009-06-10,19.45
2009-06-11,19.72
2009-06-12,19.36
2009-06-15,18.89
2009-06-16,18.57
2009-06-17,18.38
2009-06-18,18.72
2009-06-19,18.89
2009-06-22,18.40
2009-06-23,18.55
2009-06-24,19.01
2009-06-25,19.96
2009-06-26,20.38
2009-06-29,20.43
2009-06-30,20.31
2009-07-01,20.62
2009-07-02,19.72
2009-07-06,19.55
2009-07-07,18.99
2009-07-08,18.81
2009-07-09,18.88
2009-07-10,18.96
2009-07-13,19.39
2009-07-14,19.49
2009-07-15,20.56
2009-07-16,20.83
2009-07-17,20.96
2009-07-20,21.56
2009-07-21,21.48
2009-07-22,21.50
2009-07-23,22.12
2009-07-24,22.27
2009-07-27,22.66
2009-07-28,23.29
2009-07-29,22.63
2009-07-30,23.16
2009-07-31,23.22
2009-08-03,23.95
2009-08-04,24.17
2009-08-05,23.53
2009-08-06,23.27
2009-08-07,23.73
2009-08-10,23.83
2009-08-11,23.89
2009-08-12,24.38
2009-08-13,24.59
2009-08-14,24.04
2009-08-17,23.56
2009-08-18,25.41
2009-08-19,25.25
2009-08-20,25.32
2009-08-21,25.55
2009-08-24,25.50
2009-08-25,25.34
2009-08-26,25.48
2009-08-27,25.54
2009-08-28,25.83
2009-08-31,25.68
2009-09-01,25.85
2009-09-02,25.22
2009-09-03,25.29
2009-09-04,25.86
2009-09-08,26.41
